,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
9756,1568,,1568,Co(pz)(BPTC)0.5dmf-EtOH4H2O<|>complex 1,YIZCAN,Hydrogen Storage,Recommended,"Gas uptake measurements reveal that complex 1 possesses higher H2, CO2, and CH4 uptake capacities than 2, although the surface area of 1 is lower than that of complex 2. These results further experimentally prove that the pore size plays an important role in gas uptake in porous MOFs, and the slit pore with a size of B6 Å exhibits stronger interactions with gas molecules.",10.1039/C4CC00477A,Hydrogen storage
9757,1569,,1569,Co(pz)(BPTC)0.5dmf-EtOH4H2O<|>complex 1,YIZCAN,Methane Storage,Recommended,"Similarly, the CH4 and CO2 uptake capacities of complex 1 are much higher than those of 2, which can also be ascribed to the influence of aperture effect.",10.1039/C4CC00477A,Methane storage
9758,1570,,1570,Co(pz)(BPTC)0.5dmf-EtOH4H2O<|>complex 1,YIZCAN,Carbon Capture,Recommended,"Similarly, the CH4 and CO2 uptake capacities of complex 1 are much higher than those of 2, which can also be ascribed to the influence of aperture effect.",10.1039/C4CC00477A,Carbon dioxide storage
9759,1571,,1571,Co(bipy)(BPTC)0.5solvent<|>complex 2,YIZCER,Hydrogen Storage,Not Recommended,"Complex 1 possesses much higher hydrogen uptake (182 cm3 g1 vs. 46 cm3 g1) than 2. These results prove that the hexahedral boxes of 1 exhibit stronger interactions with H2 molecules than those of 2, further proving that complex 1 possesses much higher hydrogen uptake than 2.",10.1039/C4CC00477A,Hydrogen storage
9760,1572,,1572,Co(bipy)(BPTC)0.5solvent<|>complex 2,YIZCER,Methane Storage,Not Recommended,"Similarly, the CH4 and CO2 uptake capacities of complex 1 are much higher than those of 2, which can also be ascribed to the influence of aperture effect.",10.1039/C4CC00477A,Methane storage
9761,1573,,1573,Co(bipy)(BPTC)0.5solvent<|>complex 2,YIZCER,Carbon Capture,Not Recommended,"Similarly, the CH4 and CO2 uptake capacities of complex 1 are much higher than those of 2, which can also be ascribed to the influence of aperture effect.",10.1039/C4CC00477A,Carbon dioxide storage
9763,1575,,1575,[Zn3Cl2L(DMF)4]·2DMF<|>3,GONNAA,Hydrogen Storage,Investigated,"Compounds 2–4 did not demonstrate measurable adsorption of nitrogen, but non-negligible hydrogen sorption was registered (77 K, for 1 g at STP: 7.5 cm3 after degassing at 120 °C for 2, 23.3 cm3 at 70 °C for 3 and 16.9 cm3 at 70 °C for 4; see Table S5‡).",10.1039/C4DT01022A,Hydrogen sorption
9769,1581,,1581,Zn(5-MT)2·0.5(DMPU·ethanol)<|>compound 1,SIVGAH,Carbon Storage,Recommended,"Noteworthy, the activated framework of 1 (denoted: 1a) shows high CO2 and H2 adsorption and remarkable selectivity of CO2 over N2 under ambient conditions.",10.1039/C3DT53269K,CO2 and H2 storage
9779,1591,,1591,Mn2(dobdc)<|>Mn-MOF-74<|>CPO-27-Mn,COKMUM,Carbon Capture,Investigated,"Wide spread interest in Mg2(dobdc) for pre- and postcombustion CO2 capture technologies has led us to investigate the CO2 adsorption properties of the iron(II) containing analog. Since all M2(dobdc) frameworks are highly crystalline, this material family offers a rare opportunity for detailed studies of the relationships between structure and adsorption properties.",10.1039/C4SC02064B,Carbon capture
9780,1592,,1592,Fe2(dobdc)<|>Fe-MOF-74<|>CPO-27-Fe,COKMEW,Carbon Capture,Investigated,Wide spread interest in Mg2(dobdc) for pre- and postcombustion CO2 capture technologies has led us to investigate the CO2 adsorption properties of the iron(II) containing analog.,10.1039/C4SC02064B,Carbon capture
9781,1593,,1593,Co2(dobdc)<|>Co-MOF-74<|>CPO-27-Co,COKPOJ,Carbon Capture,Investigated,"Wide spread interest in Mg2(dobdc) for pre- and postcombustion CO2 capture technologies has led us to investigate the CO2 adsorption properties of the iron(II) containing analog. Since all M2(dobdc) frameworks are highly crystalline, this material family offers a rare opportunity for detailed studies of the relationships between structure and adsorption properties.",10.1039/C4SC02064B,Carbon capture
9782,1594,,1594,Cu2(dobdc)<|>Cu-MOF-74<|>CPO-27-Cu,COKMOG,Carbon Capture,Investigated,"""Cu2(dobdc) further has two adsorption sites of comparable binding strength, as evidenced by similarities in CO2 site occupancy, even at 10 K. Assessment of room temperature diffraction and adsorption data reveals that a secondary adsorption site does contribute to the uptake properties of many of these materials.""",10.1039/C4SC02064B,Carbon capture
9783,1595,,1595,Zn2(dobdc)<|>Zn-MOF-74<|>CPO-27-Zn,COKPUP,Carbon Capture,Not Recommended,"This study has further drawn attention to possible crystalline defects associated with the M2(dobdc) series. Both structural analysis and adsorption measurements indicate that for some of the analogs, in particular Zn, a large percentage of the open metal sites are inaccessible, an occurrence that likely stems from intergrowth and can seriously limit performance.",10.1039/C4SC02064B,Carbon capture
9785,1597,,1597,BMOF-2-dioxole,PEYPIU,Carbon Capture,Recommended,BMOF-2-dioxole shows very selective uptake for CO2 (196 K) over N2 (77 K) at 760 mmHg... The selective CO2 uptake of BMOF-2-dioxole is likely due to the breathing phenomena evidenced by the changes of PXRD analysis of the activated sample.,10.1039/c3dt32588a,CO2/N2 separation
9786,1598,,1598,MOF-1-dioxole,PEYPAM,Carbon Capture,Investigated,"We further studied the CO2 sorption at 196 K of the dioxole-functionalized MOFs to probe the CO2/N2 uptake selectivity of these MOFs. ... MOF-1-dioxole and BMOF-2-dioxole show moderate CO2 uptake capacity at 196 K; however, the overall CO2 uptake capacity (∼210 cm3 g−1 at 196 K) of MOF-1-dioxole is ∼25% greater than its N2 uptake capacity (∼150 cm3 g−1 at 77 K)...",10.1039/c3dt32588a,CO2/N2 separation
9789,1601,,1601,{[Cd(3-bpdh)(suc)(H2O)]·3(H2O)}n<|>compound 2,DUYVEA,Carbon Capture,Investigated,The desolvated framework of 2 exhibits sorption of CO2 and water vapor and surface adsorption of N2 corroborating with the nature of the pore environment present in 2.,10.1039/C5DT03738G,CO2 sorption
9790,1602,,1602,{[Cd(3-bpdh)(suc)(H2O)]·3(H2O)}n<|>compound 2,DUYVEA,Water Purification,Investigated,The desolvated framework of 2 exhibits sorption of CO2 and water vapor and surface adsorption of N2 corroborating with the nature of the pore environment present in 2.,10.1039/C5DT03738G,Water vapor sorption
9794,1606,,1606,[Dy(BPDC)1.5(DMF)(H2O)2]·2H2O<|>compound 4,ZEZPUR,Magnetic Material,Investigated,"Magnetic measurements were performed on compounds 2–4 and 6–8, only compounds 4 and 8 exhibit slow relaxation of the magnetization. Geometrical differences in the crystal fields of Dy3+ in 4 and 8 seem to be responsible for the divergence of their magnetic behaviors.",10.1039/C3DT32861A,Magnetism
9798,1610,,1610,[Dy(BPDC)(DMF)2(NO3)]<|>compound 8,ZEZPAX,Magnetic Material,Investigated,"Magnetic measurements were performed on compounds 2–4 and 6–8, only compounds 4 and 8 exhibit slow relaxation of the magnetization. Geometrical differences in the crystal fields of Dy3+ in 4 and 8 seem to be responsible for the divergence of their magnetic behaviors.",10.1039/C3DT32861A,Magnetism
9804,1616,,1616,{[Zn2(L1)(bpe)2]4H2O}n<|>compound 8,REYBEE,Sensors,Investigated,The results show that these compounds may be candidates for the detection of nitroaromatic explosives via a fluorescence quenching mechanism.,10.1039/c3ce26864k,Detection of nitroaromatic explosives
9805,1617,,1617,{[Zn2(L1)(bpmp)2]6H2O}n<|>compound 10,REYCOP,Sensors,Recommended,"These showed solvent-dependent luminescent spectra with emission intensities significantly quenched towards nitrobenzene. The quenching effects are observed at a low nitrobenzene concentration of 200 ppm, which indicates high sensitivities of these compounds towards nitrobenzene.",10.1039/c3ce26864k,Detection of nitrobenzene
9806,1618,,1618,"{[Zn2(L1)(4,4'-bipy)2]4H2O}n<|>compound 7",REYBAA,Sensors,Investigated,The results show that these compounds may be candidates for the detection of nitroaromatic explosives via a fluorescence quenching mechanism.,10.1039/c3ce26864k,Detection of nitroaromatic explosives
9815,1627,,1627,[Sm(4-SBA)(IP)OH]·1.5H2O<|>Sm(III) framework<|>complex 1,SISGOS,Light Emitting Diodes,Recommended,White light emission was realized by introducing single dopant Eu(III) and codopants Eu(III)/Gd(III) or Eu(III)/Tb(III) into the Sm(III) framework for the first time.,10.1039/C3DT53139B,White light emission
9816,1628,,1628,[Tb(4-SBA)(IP)OH]·1.5H2O<|>Tb(III) framework<|>complex 4,SISGUY,Light Emitting Diodes,Investigated,White light emission was realized by introducing single dopant Eu(III) and codopants Eu(III)/Gd(III) or Eu(III)/Tb(III) into the Sm(III) framework for the first time.,10.1039/C3DT53139B,White light emission
9817,1629,,1629,[Gd(4-SBA)(IP)OH]·1.5H2O<|>Gd(III) framework<|>complex 3,SISGIM,Light Emitting Diodes,Investigated,"The Gd(III) framework affords a green emission. As a consequence, white light emission can be obtained by introducing Gd(III)/Eu(III) dopants into the Sm(III) framework and by varying the amount of Eu(III), Gd(III) and Sm(III) ions.",10.1039/C3DT53139B,White light emission
9822,1634,,1634,[HoCu(tda)(ina)2(H2O)]·3H2O<|>compound 5,DIBXAP,Molecular Magnets,Investigated,"The rational design and synthesis of lanthanide-transition 3d–4f heterometallic coordination polymers are currently drawing a mass of interest because of the potential synergic effects of different metals within one assembly, fascinating structural topologies and a variety of advanced applications in molecular magnets, molecular recognition, luminescent materials, molecular adsorption, and semiconductors.",10.1039/c3ce40346g,Molecular magnets
9824,1636,,1636,[HoCu(tda)(ina)2(H2O)]·3H2O<|>compound 5,DIBXAP,Photoluminescence,Investigated,"The rational design and synthesis of lanthanide-transition 3d–4f heterometallic coordination polymers are currently drawing a mass of interest because of the potential synergic effects of different metals within one assembly, fascinating structural topologies and a variety of advanced applications in molecular magnets, molecular recognition, luminescent materials, molecular adsorption, and semiconductors.",10.1039/c3ce40346g,Luminescent materials
9832,1644,,1644,[{Cd5(4-Ptz)8(CH3OH)2(µ3-OH)2}·2DMA·4H2O·3CH3OH]n<|>2,FUWFOU,Carbon Capture,Investigated,The high N content of the 4-Ptz ligand encourages us to further examine the CO2 adsorption performance of 2.,10.1039/C5DT02987B,CO2 adsorption
9838,1650,,1650,Cu-UBTA<|>MOF Cu-UBTA,WUKXEH,Carbon Storage,Recommended,"In order to evaluate the potential application of MOF Cu-UBTA in gas storage and separation, we further investigated its gas uptake capacities towards CO2 and H2... As shown in Fig. 3, the CO2 sorption isotherm was measured at 273 K, revealing an uptake of 165 cm3 g−1 (32.4 wt%) at 1 bar. This value is still among the highest CO2 uptake abilities reported for MOFs... Besides, the H2 sorption isotherm of MOF Cu-UBTA demonstrates a H2 uptake capacity as high as 281 cm3 g−1 (2.51 wt%) at 77 K and 1 bar.",10.1039/C5CE00625B,CO2 and H2 storage
9840,1652,,1652,"[Zn(1,3-tzbaa)]n<|>compound 1",ROSKOB,Photoluminescence,Investigated,These three-dimensional structures exhibit intense blue-green long lifetime photoluminescence emission at room temperature in the solid state.,10.1039/C4CE00662C,Luminescence
9843,1655,,1655,MMPF-7<|>C48H24N4O8.57In1.29,COKROL,Carbon Capture,Investigated,"""MMPF-7 and MMPF-8 exhibit interesting CO2 adsorption properties."" ""We evaluated the CO2 uptake performances of MMPF-7 and MMPF-8. As shown in Fig. 3a, MMPF-7 can adsorb substantial amounts of CO2 with an uptake capacity of 10.7 wt% (55 cm3 g−1) at 273 K and 6.6 wt% (34 cm3 g−1) at 298 K under 1 atm pressure.""",10.1039/c3ce41090k,CO2 storage
9844,1656,,1656,MMPF-8<|>C72H40N4O10In2,COKRUR,Carbon Capture,Investigated,"MMPF-8, with a higher number of interpenetration folds, demonstrated an enhanced CO2 uptake capacity with 16.2 wt% (82 cm3 g−1) at 273 K and 9.3 wt% (47 cm3 g−1) at 298 K under 1 atm pressure.",10.1039/c3ce41090k,CO2 storage
9845,0,,0,[Ag2(18-Crown-6)][Pt3(NO2)6(μ4-O)]·(CH3)2CO<|>4,BIPNAS,Carbon Capture,Recommended,"The N2, O2, and CO2 gas absorption isotherms of 1–5 were obtained, revealing that the dry crystals of 4 exhibit a selective CO2 absorption ability.",10.1039/C8DT04121K,CO2 absorption
9852,7,,7,AEMOF-7-Cu<|>[Mg1.73Cu0.27(NH2BDC)2(HNO3)]·6H2O,BAKYOE,Methane Storage,Recommended,"Analysis of the single-components isotherms of CO2 and CH4 at −10 °C and 0 °C using the ideal adsorption solution theory (IAST) revealed that the AEMOF-7 material achieve a high CO2/CH4 gas separation with a selectivity factor of ∼35 at −10 °C and ∼24 at 0 °C, in the low-pressure limit.",10.1039/C6QI00548A,CO2/CH4 gas separation
9866,21,,21,[Eu(pdc)1.5(dmf)]·(DMF)0.5(H2O)0.5<|>Compound 1<|>1a<|>1b,MOSBIG,Sensors,Investigated,"Importantly, POST-1 and [Cd(4-btapa)2(NO3)2] exhibit interesting catalytic activities for the transesterification and Knoevenagel condensation, attributed to pyridyl and amide sites, respectively, highlighting the significance of such Lewis basic sites within porous MOFs for their functional properties. To make use of the preferential binding of lanthanide ions (Ln3+) to carboxylate oxygen atoms over pyridyl nitrogen atoms in Ln3+-pyridinecarboxylate complexes, herein we report a rare example of luminescent MOFs, [Eu(pdc)1.5(dmf)]·(DMF)0.5(H2O)0.5 (1, pdc = pyridine-3,5-dicarboxylate), with Lewis basic pyridyl sites for the sensing of metal ions.",10.1002/anie.200805101,Sensing of metal ions
9873,28,,28,[Co4(HL2−)4(DMF)2(H2O)2]n·solvent<|>complex 1<|>1,UWUKII,Carbon Capture,Recommended,"These results suggest that complex 1 is an attractive candidate for CO2 adsorption and separation due to the existence of its functional binding sites, which were identified by DFT calculations.",10.1039/C6QI00191B,CO2 adsorption and separation
9875,30,,30,PCN-12<|>[Cu6(Cs-mdip)2(C2v-mdip)-(H2O)6]·3DMA·6H2O,HOGLEV,Hydrogen Storage,Recommended,"PCN-12 exhibits a record-high hydrogen uptake of 3.05 wt% at 77 K and 1 atm (for a MOF)... This high hydrogen uptake of PCN-12, compared to PCN-12', can be ascribed to both the formation of cuboctahedral cages and the alignment of open metal sites within each cage... To our knowledge, PCN-12 possesses the highest hydrogen uptake reported for a MOF at 1 bar and 77 K.",10.1002/anie.200802087,Hydrogen storage
9876,31,,31,PCN-12'<|>[Cu2(C2v-mdip)(H2O)2]·3DMSO,HOGLEV01,Hydrogen Storage,Investigated,"The document states, ""The hydrogen adsorption isotherm of PCN-12' (Figure 6 b) shows a 2.40 wt% (20.4 gL)1 hydrogen uptake at 77 K and 1 atm, comparable to those of other MOFs containing cuboctahedral cages (Table 1).""",10.1002/anie.200802087,Hydrogen storage
9883,38,,38,CFA-8<|>[Cu2(tqpt)] with trimethyl phosphite,URUWIP,Catalysis,Investigated,A last feature of this novel MOF is the catalytic activity of the framework. A first preliminary examination for the catalytic activity was performed with a simple liquid phase oxidation reaction. The oxidation of ethylbenzene under mild conditions catalyzed by CFA-8 in the presence of NHPI as a co-catalyst leads to acetophenone as a single product.,10.1039/C6DT02672A,Catalysis
9889,44,,44,[CuI(DTBA)(Mo2O6)]<|>compound 3,BAPJAG,Pollutant Removal,Recommended,"The photocatalytic activities of compounds 1–3 for degradation of organic dyes were tested, with methylene blue (MB) as a representative... The conversions of MB are 76.3% for 1, 67.9% for 2 and 79.5% for 3 after 150 min respectively. The order of the photocatalytic activity of compounds 1–3 is 3 > 1 > 2.",10.1039/C6DT04185J,Photocatalytic degradation of organic dyes
9896,51,,51,LCU-102<|>{[H2N(CH3)2][Fe2Na3(BPDC)2(DMAC)2(H2O)]-DMAC}n,SAJSAA,Carbon Capture,Recommended,"Thus, as expected, both LCU-101 and LCU-102 show remarkable CO2 uptake and good CO2/CH4 and CO2/N2 selectivity, which are among the scanty best examples in the family of Fe-based porous MOFs under the same experimental conditions.",10.1039/C6CC09923H,CO2 capture and separation
9900,55,,55,"{[WS4Cu4(4,4'-bpy)4][WS4Cu4I4(4,4'-bpy)2]}·2 I2<|>2·2 I2",IBIYUO,Iodine Capture,Investigated,"Although the channels are large enough to hold CCl4, the channels preferentially absorb I2. The crystal-structure analysis revealed that the iodine is associated with the coordinated iodide. The I2 molecule slots neatly into a space between coordinated iodide ions of two bridged clusters of an anionic net to form a Cu-I-I-I-I-Cu bridge that runs parallel to the 4,4'-bpy bridge.",10.1002/anie.200460076,Iodine absorption
9904,59,,59,{[Cu(L)(H2O)]H2O0.5(CH3OH)0.5(DMF)}n<|>5,OBUREL,Photocatalysis,Investigated,"Moreover, complexes 5–8 are also applied to catalyze the reaction of MB under high-pressure mercury lamp irradiation.",10.1039/C6NJ02863B,Photocatalysis
9909,64,,64,Co6–MOF,REBLES,Electrocatalysis,Recommended,"In this study, a novel pillared-layer porous metal–organic framework (Co6–MOF) with high nuclearity CoII clusters has been synthesized. This material exhibited a CO2 adsorption capacity of up to 55.24 cm3 g1 and 38.17 cm3 g1 at 273 K and 298 K, respectively. In a heterogeneous photocatalytic system of CO2 reduction, this material, co-operated with a ruthenium-based photosensitizer, can efficiently realize CO2 to CO conversion. Under visible-light irradiation for 3 hours, 39.36 mmol CO and 28.13 mmol H2 were obtained. This result is higher than those of most of the reported MOF materials under similar conditions and to the best of our knowledge, this is the first example of a high nuclear MOF used in CO2 reduction.",10.1039/C7TA02611K,CO2 reduction
9912,67,,67,[(Li+)(C6H4NO2-)]·0.5DMF<|>lithium isonicotinate DMF solvate,XUNGUJ,Hydrogen Storage,Investigated,"Following removal of DMF under vacuum at a temperature of 1108C, the ability of the residue to sorb hydrogen was examined at 77 K using a volumetric method. The isotherm for this sorption process, which is presented in Figure 2, shows an increase in the amount of hydrogen sorbed as the pressure is increased to approximately 640 kPa, when the H2 uptake is 86 mL H2 (at standard temperature and pressure, STP) per gram of compound.",10.1002/anie.200906322,Hydrogen storage
9913,68,,68,[(Li+)(C6H4NO2-)]·0.5C5H9NO<|>lithium isonicotinate N-methylpyrrolidinone solvate,XUNHAQ,Hydrogen Storage,Investigated,The ability of the residue to sorb hydrogen was examined at 77 K using a volumetric method. The isotherm for this sorption process... shows an increase in the amount of hydrogen sorbed as the pressure is increased... This result is consistent with the reasonable expectation from the crystallographic analysis that at least one hydrogen molecule will occupy the space vacated by a single solvent molecule.,10.1002/anie.200906322,Hydrogen storage
9914,69,,69,[(Li+)(C6H4NO2-)]·0.5C4H9NO<|>lithium isonicotinate morpholine solvate,XUNGOD,Hydrogen Storage,Investigated,"In conclusion, we have described the first example of a simple lithium salt with a microporous structure capable of hysteretic reversible sorption of a number of gases. The results provide proof-of-concept that simple salts of lightweight cations together with appropriately chosen organic anions are capable of reversible gas sorption. Whilst lithium isonicotinate shows only modest gas-sorbing capacities, the gas binding energies are encouragingly high.",10.1002/anie.200906322,Hydrogen storage
9922,77,,77,JUC-135<|>[(Zn4O)(DCPB)3]$11DMF$5H2O,DUPKAC,Sensors,Recommended,"Notably, by the fluorescence technique, JUC-135 can be used to detect nitroaromatic explosives. In particular, it is one of the most efficient porous material-based sensors for TNP (KSV = 3.7 x 10^4 M^-1).",10.1039/C5TA03537F,Detection of nitroaromatic explosives
9925,80,,80,[Cden][B5O8(OH)]<|>1,LIGZIN,Sensors,Recommended,"The C-dots show turn-on and turn-off detection of Cr3+ ion and CdSe/ZnS quantum dots. Furthermore, they also display turn-on detection of the Cs+ ion and turn-off detection of CsPbBr3 quantum dots. The synthesized materials can be used as promising fluorescent probes.",10.1039/C8DT01077C,Fluorescent probes
9926,81,,81,[Co2(C8H2O6)(H2O)2]·8H2O<|>compound 1,NAVJAW,Catalysis,Investigated,"The stability and the readily available coordination site at the metal atom indicate that it should be worthwhile to investigate the chemical properties of this compound further. This should encompass possible catalytic activity, while its magnetic properties suggest that a more detailed study of its magnetic structure needs to be performed.",10.1002/anie.200501508,Catalysis
9927,82,,82,[Co2(C8H2O6)]<|>compound 2,SATNOR01,Catalysis,Investigated,The stability and the readily available coordination site at the metal atom indicate that it should be worthwhile to investigate the chemical properties of this compound further. This should encompass possible catalytic activity...,10.1002/anie.200501508,Catalysis
9928,83,,83,[Co2(C8H2O6)]<|>compound 2,SATNOR01,Magnetic Material,Investigated,...while its magnetic properties suggest that a more detailed study of its magnetic structure needs to be performed.,10.1002/anie.200501508,Magnetic properties
9949,104,,104,CPM-7,YEKQOW,Carbon Capture,Investigated,The CO2 uptake reached 28.6 cm3 g1 at 760 Torr and 273 K.,10.1002/anie.201203425,Carbon Dioxide (CO2) adsorption
9951,106,,106,[Zn(μ2-fumarate)(μ2-bpe)]<|>3-bpe,EBOBIJ,Carbon Capture,Not Recommended,"3-bpe did not exhibit appreciable uptake levels for N2, H2, and CO2, which was possibly due to the relatively rigid nonporous activated form of the framework after solvent removal.",10.1039/C6CE02122K,CO2 adsorption
9952,107,,107,[Zn(μ2-muconate)(μ2-bpe)]<|>6-bpe,EBOBUV,Carbon Capture,Recommended,"Gas sorption analysis with N2, H2, and CO2 at a suitable temperature indicated that 6-bpe was an adsorbent with selectivity for CO2 adsorption at 196 K over N2 and H2. The CO2 uptake at 196 K was 86.68 cm3 g−1 (3.87 mmol g−1).",10.1039/C6CE02122K,CO2 capture
9954,109,,109,[Ag10(L2)8(H2O)][PW12O40]<|>compound 3,VUMYUZ,Pollutant Removal,Recommended,"The results reveal that the conversions of RhB are 64.5% for 1, 77.4% for 2 and 86.7% for 3. The results indicate that compounds 1, 2 and 3 own excellent photocatalytic activities for the degradation of RhB, especially compound 3.",10.1039/C5RA07107K,Photocatalytic degradation of organic dyes
9974,129,,129,MOF 1<|>compound 1,YUZPEQ,Pollutant Removal,Investigated,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Pollutant removal
9976,131,,131,MOF 1<|>compound 1,YUZPEQ,Drug Delivery,Investigated,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Drug delivery
9977,132,,132,MOF 2<|>compound 2,YUZPIU,Pollutant Removal,Recommended,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Pollutant removal
9979,134,,134,MOF 2<|>compound 2,YUZPIU,Drug Delivery,Recommended,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Drug delivery
9980,135,,135,MOF 3<|>compound 3,YUZPOA,Pollutant Removal,Recommended,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Pollutant removal
9982,137,,137,MOF 3<|>compound 3,YUZPOA,Drug Delivery,Recommended,"The investigations on size-dependent large-molecule capture and separation clearly indicate that these triazole-containing MOFs are promising porous materials for pollutant removal, bioimaging, and drug delivery.",10.1002/anie.201504346,Drug delivery
9986,141,,141,Sc2BDC3<|>Sc2BDC3·CO2<|>Sc2BDC3·CH4,BADHIA,Carbon Capture,Investigated,"Understanding how guest molecules in metal–organic framework (MOFs) interact with each other and the framework they occupy upon adsorption is vital for the development and commercial application of MOFs, for example in carbon capture and gas sequestration technologies.",10.1002/anie.201506250,Carbon capture
9992,147,,147,[{Cu2IJbth)4}{H2As2Mo6O26}]·H2O<|>compound 6,VAXMUF,Electrocatalysis,Recommended,"The introduction of {Cu(bth)} complexes from the POMOF structure may be conducive for the electron transfer during the electrocatalytic process. The 6-CPE shows the highest CAT value (529%) toward 30 mM NO2 − (as shown in Fig. 9), which may be due to the POMOF structure.",10.1039/C7CE00319F,Electrocatalytic reduction of nitrite
10002,157,,157,{[Zn2(btdc)2(bpy)]·xS}n<|>1·xS<|>three-fold interpenetrated JAST framework,GUYMAP,Carbon Capture,Recommended,"The sorption isotherm of 1 shows that the saturated amount of CO2 adsorbed is about 55 cm3(STP) g1, which corresponds to one CO2 molecule per unit formula (Figure 2 a). Although the intensity and position of 110 and 020 in the XRPD patterns are slightly changed depending on the adsorption of guest molecules, the other peaks are almost unchanged (Figure 2 b). The cell parameters for the patterns at B, C, and D were calculated by Le Bail analysis (Supporting Information, Table S3). It is noteworthy that the main structure of threefold interpenetrated compound 1 is maintained even when CO2 guest molecules are accommodated in its pores, indicating that compound 1 has a rigid framework.",10.1002/anie.201002259,Carbon dioxide storage
10003,158,,158,{[Zn2(btdc)2(bpy)]·yS}n<|>2·yS<|>two-fold interpenetrated JAST framework,GUYLOC,Carbon Capture,Investigated,"To explore the permanent porosity and structural dynamics of both compounds, the CO2 sorption properties on 1 and 2 at 195 K were investigated using coincident XRPD/adsorption measurement equipment. We found that both compounds showed completely contrasting sorption behaviors.",10.1002/anie.201002259,Carbon dioxide storage
10004,159,,159,dried 2,GUYLUI,Carbon Capture,Recommended,"The saturated amount of CO2 adsorption (at point G) is about 201 cm3- (STP) g1 (3.5 CO2 per unit formula), which is about four times higher than that of 1.",10.1002/anie.201002259,Carbon dioxide storage
10009,164,,164,[Zn6(C33H18N9O6)4(H2O)3]n<|>MOF 1<|>NTU-130,KAWHEY,Drug Delivery,Recommended,"As shown in Fig. 3c, after immersing the activated crystals of 1 into a DMF solution of Dox, the color change in the crystals from colorless to red was clearly observed, indicating that the Dox molecule penetrates into the pores of 1 and this large-pore MOF could be a promising porous material for drug uptake in potential drug delivery application.",10.1039/C7CC01063J,Drug delivery
10010,165,,165,[Zn6(C33H18N9O6)4(H2O)3]n<|>MOF 1<|>NTU-130,KAWHEY,Pollutant Removal,Recommended,This clearly shows that the constructed MOF is a highly promising porous material for large molecule capture and organic pollutant removal.,10.1039/C7CC01063J,Organic pollutant removal
10029,184,,184,[Al4(OH)2(OCH3)4(H2N-bdc)3]·xH2O<|>CAU-1,RUPNEW,Methane Storage,Recommended,"Recently, Al-MIL-53-NH2 was shown to be a stable, highly active, basic catalyst in a Knoevenagel condensation, and to be well-suited for CO2/CH4 separation.",10.1002/anie.200901409,CO2/CH4 separation
10038,193,,193,Tb-TCA<|>compound Tb-TCA,EWETUW,Catalysis,Recommended,"Tb − TCA can catalyze both the Knoevenagel reaction and cyanosilylation in a size-selective fashion through base-type and acid-type catalysis sites, respectively.",10.1002/adfm.201100115,Catalysis
10039,194,,194,Tb-TCA<|>compound Tb-TCA,EWETUW,Sensors,Recommended,Tb − TCA works as a luminescent chemosensor towards salicylaldehyde with a sensitivity of 10 ppm under optimized conditions.,10.1002/adfm.201100115,Luminescent Sensing
10041,196,,196,JLU-Liu7,YAKBOE,Methane Storage,Investigated,"""The selectivity of CO2/CH4 (50% and 50%, 5% and 95%) is 6.9 and 6.5.""",10.1039/C6QI00440G,CO2/CH4 separation
10042,197,,197,JLU-Liu7,YAKBOE,Gas Adsorbent Material,Investigated,"""Furthermore, this material may be used for gas storage and purification in the future.""",10.1039/C6QI00440G,Gas storage and purification
10045,200,,200,[Y2(fum)3(H2O)4]<|>compound 3a,WADDOX,Optical Devices,Investigated,The absence of absorption in the region between 326 nm and 1750 nm shows that 2a and 3a could be used for optical window applications (Fig. S6†).,10.1039/C6DT00205F,Optical window applications
10052,207,,207,MFM-300(VIII)<|>MFM-300(V(iii))-CO2,XAPCOJ,Carbon Capture,Recommended,Dynamic gas permeation measurements on MFM-300(VIII)/PIM-1 have shown great improvement over the bare PIM-1 polymer for CO2 separation based on the ideal selectivity.,10.1039/C6SC04343G,CO2 separation
10053,208,,208,MFM-300(VIII)<|>MFM-300(V(iii))-CO2,XAPCOJ,Carbon Capture,Recommended,The inclusion of the MOF leads to an increased permeation to CO2 and an improvement of the ideal gas separation performance for CO2/N2 over the bare polymer.,10.1039/C6SC04343G,CO2/N2 separation
